timestamp,voltage_V,current_A,power_kW,SOC_percent,backup_time_h
2025-12-26 11:44:34,52.408,-0.242,-0.013,19.00,0.190
2025-12-26 11:44:35,52.420,-0.315,-0.017,19.00,0.190
2025-12-26 11:44:36,52.406,-0.312,-0.016,19.00,0.190
2025-12-26 11:44:37,52.414,-0.355,-0.019,19.00,0.190
2025-12-26 11:44:38,52.416,-0.333,-0.019,19.00,0.190
2025-12-26 11:44:39,52.406,-0.356,-0.019,19.00,0.190
2025-12-26 11:44:41,52.394,-0.267,-0.014,19.00,0.190
2025-12-26 11:44:42,52.406,-0.286,-0.015,19.00,0.190
2025-12-26 11:44:43,52.401,-0.269,-0.014,19.00,0.190
2025-12-26 11:44:44,52.414,-0.268,-0.014,19.00,0.190
2025-12-26 11:44:45,52.415,-0.280,-0.015,19.00,0.190
2025-12-26 11:44:46,52.418,-0.256,-0.013,19.00,0.190
2025-12-26 11:44:48,52.407,-0.276,-0.014,19.00,0.190
2025-12-26 11:44:49,52.405,-0.290,-0.015,19.00,0.190
2025-12-26 11:44:50,52.407,-0.248,-0.013,19.00,0.190
2025-12-26 11:44:51,52.404,-0.233,-0.012,19.00,0.190
2025-12-26 11:44:52,52.417,-0.300,-0.016,19.00,0.190
2025-12-26 11:44:53,52.406,-0.254,-0.013,19.00,0.190
2025-12-26 11:44:55,52.413,-0.320,-0.017,19.00,0.190
2025-12-26 11:44:56,52.409,-0.311,-0.016,19.00,0.190
2025-12-26 11:44:57,52.413,-0.277,-0.015,19.00,0.190
2025-12-26 11:44:58,52.409,-0.286,-0.015,19.00,0.190
2025-12-26 11:44:59,52.419,-0.296,-0.016,19.00,0.190
2025-12-26 11:45:00,52.400,-0.266,-0.014,19.00,0.190
2025-12-26 11:45:00,52.416,-0.264,-0.014,19.00,0.190
2025-12-26 11:45:02,52.414,-0.284,-0.015,19.00,0.190
2025-12-26 11:45:03,52.406,-0.260,-0.014,19.00,0.190
2025-12-26 11:45:04,52.406,-0.271,-0.014,19.00,0.190
2025-12-26 11:45:05,52.413,-0.292,-0.015,19.00,0.190
2025-12-26 11:45:06,52.418,-0.259,-0.014,19.00,0.190
2025-12-26 11:45:08,52.408,-0.260,-0.012,19.00,0.190
2025-12-26 11:45:09,52.429,-0.285,-0.015,19.00,0.190
2025-12-26 11:45:10,52.416,-0.254,-0.013,19.00,0.190
2025-12-26 11:45:11,52.402,-0.240,-0.013,19.00,0.190
2025-12-26 11:45:12,52.418,-0.242,-0.013,19.00,0.190
2025-12-26 11:45:13,52.402,-0.240,-0.013,19.00,0.190
2025-12-26 11:45:15,52.404,-0.201,-0.011,19.00,0.190
2025-12-26 11:45:16,52.417,-0.224,-0.012,19.00,0.190
2025-12-26 11:45:17,52.402,-0.250,-0.013,19.00,0.190
2025-12-26 11:45:18,52.406,-0.243,-0.013,19.00,0.190
2025-12-26 11:45:19,52.416,-0.173,-0.009,19.00,0.190
2025-12-26 11:45:20,52.406,-0.242,-0.013,19.00,0.190
2025-12-26 11:45:22,52.413,-0.249,-0.013,19.00,0.190
2025-12-26 11:45:23,52.410,-0.277,-0.015,19.00,0.190
2025-12-26 11:45:24,52.415,-0.247,-0.013,19.00,0.190
2025-12-26 11:45:25,52.414,-0.253,-0.013,19.00,0.190
2025-12-26 11:45:26,52.420,-0.199,-0.010,19.00,0.190
2025-12-26 11:45:27,52.408,-0.238,-0.012,19.00,0.190
2025-12-26 11:45:29,52.410,-0.211,-0.011,19.00,0.190
2025-12-26 11:45:30,52.403,-0.274,-0.014,19.00,0.190
2025-12-26 11:45:31,52.403,-0.245,-0.013,19.00,0.190
2025-12-26 11:45:32,52.408,-0.256,-0.013,19.00,0.190
2025-12-26 11:45:33,52.404,-0.288,-0.015,19.00,0.190
2025-12-26 11:45:34,52.411,-0.271,-0.014,19.00,0.190
2025-12-26 11:45:36,52.417,-0.260,-0.014,19.00,0.190
2025-12-26 11:45:37,52.407,-0.238,-0.012,19.00,0.190
2025-12-26 11:45:38,52.413,-0.267,-0.014,19.00,0.190
2025-12-26 11:45:39,52.418,-0.223,-0.012,19.00,0.190
2025-12-26 11:45:40,52.415,-0.244,-0.012,19.00,0.190
2025-12-26 11:52:03,52.417,-0.304,-0.016,19.00,0.190
2025-12-26 11:52:04,52.412,-0.287,-0.015,19.00,0.190
2025-12-26 11:52:05,52.406,-0.317,-0.017,19.00,0.190
2025-12-26 11:52:06,52.422,-0.263,-0.014,19.00,0.190
2025-12-26 11:52:08,52.402,-0.253,-0.013,19.00,0.190
2025-12-26 11:52:09,52.411,-0.283,-0.015,19.00,0.190
2025-12-26 11:52:10,52.410,-0.295,-0.015,19.00,0.190
2025-12-26 11:52:11,52.404,-0.255,-0.013,19.00,0.190
2025-12-26 11:52:12,52.406,-0.274,-0.014,19.00,0.190
2025-12-26 11:52:13,52.416,-0.269,-0.014,19.00,0.190
2025-12-26 11:52:15,52.419,-0.299,-0.016,19.00,0.190
2025-12-26 11:52:16,52.405,-0.360,-0.017,19.00,0.190
2025-12-26 11:52:17,52.399,-0.305,-0.016,19.00,0.190
2025-12-26 11:52:18,52.415,-0.285,-0.015,19.00,0.190
2025-12-26 11:52:19,52.397,-0.316,-0.017,19.00,0.190
2025-12-26 11:52:20,52.409,-0.325,-0.017,19.00,0.190
2025-12-26 11:52:22,52.408,-0.299,-0.016,19.00,0.190
2025-12-26 11:52:23,52.406,-0.309,-0.016,19.00,0.190
2025-12-26 11:52:24,52.410,-0.292,-0.015,19.00,0.190
2025-12-26 11:52:25,52.413,-0.271,-0.014,19.00,0.190
2025-12-26 11:52:26,52.412,-0.340,-0.017,19.00,0.190
2025-12-26 11:52:27,52.392,-0.296,-0.016,19.00,0.190
2025-12-26 11:52:29,52.426,-0.293,-0.015,19.00,0.190
2025-12-26 11:52:30,52.412,-0.321,-0.017,19.00,0.190
2025-12-26 11:52:31,52.410,-0.279,-0.015,19.00,0.190
2025-12-26 11:52:32,52.423,-0.307,-0.016,19.00,0.190
2025-12-26 11:52:33,52.411,-0.314,-0.016,19.00,0.190
2025-12-26 11:52:35,52.416,-0.315,-0.017,19.00,0.190
2025-12-26 11:52:36,52.418,-0.318,-0.016,19.00,0.190
2025-12-26 11:52:37,52.400,-0.298,-0.015,19.00,0.190
2025-12-26 11:52:38,52.421,-0.263,-0.016,19.00,0.190
2025-12-26 11:52:39,52.406,-0.252,-0.013,19.00,0.190
2025-12-26 11:52:40,52.415,-0.214,-0.011,19.00,0.190
2025-12-26 11:52:42,52.420,-0.204,-0.011,19.00,0.190
2025-12-26 11:52:43,52.407,-0.217,-0.011,19.00,0.190
2025-12-26 11:52:44,52.411,-0.177,-0.009,19.00,0.190
2025-12-26 11:52:45,52.414,-0.227,-0.012,19.00,0.190
2025-12-26 11:52:46,52.404,-0.224,-0.012,19.00,0.190
2025-12-26 11:52:47,52.405,-0.251,-0.013,19.00,0.190
2025-12-26 11:52:49,52.410,-0.255,-0.013,19.00,0.190
2025-12-26 11:52:50,52.409,-0.295,-0.015,19.00,0.190
2025-12-26 11:52:51,52.415,-0.273,-0.014,19.00,0.190
2025-12-26 11:52:52,52.416,-0.280,-0.015,19.00,0.190
2025-12-26 11:52:53,52.404,-0.292,-0.015,19.00,0.190
2025-12-26 11:52:54,52.407,-0.271,-0.014,19.00,0.190
2025-12-26 11:52:56,52.401,-0.297,-0.017,19.00,0.190
2025-12-26 11:52:57,52.417,-0.302,-0.014,19.00,0.190
2025-12-26 11:52:58,52.413,-0.288,-0.015,19.00,0.190
2025-12-26 11:52:59,52.410,-0.248,-0.013,19.00,0.190
2025-12-26 11:53:00,52.410,-0.302,-0.017,19.00,0.190
